Respondent,YearsCodingProf
85514,18-20 years
85531,9-11 years
85548,0-2 years
85551,21-23 years
85576,6-8 years
85590,6-8 years
85630,18-20 years
85636,3-5 years
85652,0-2 years
85663,3-5 years
85667,12-14 years
85685,9-11 years
85699,21-23 years
85720,0-2 years
85721,3-5 years
85723,3-5 years
85753,15-17 years
85757,6-8 years
85772,9-11 years
85782,0-2 years
85785,30 or more years
85786,30 or more years
85800,18-20 years
85801,6-8 years
85825,9-11 years
85826,0-2 years
85827,3-5 years
85831,0-2 years
85901,6-8 years
85907,6-8 years
85925,3-5 years
85926,21-23 years
85943,0-2 years
85948,9-11 years
85962,18-20 years
85969,0-2 years
85974,0-2 years
85979,0-2 years
86017,30 or more years
86020,6-8 years
86042,9-11 years
86043,3-5 years
86046,3-5 years
86049,3-5 years
86052,0-2 years
86061,12-14 years
86074,3-5 years
86076,30 or more years
86085,0-2 years
86095,12-14 years
86107,18-20 years
86114,0-2 years
86122,12-14 years
86143,6-8 years
86165,0-2 years
86174,15-17 years
86180,6-8 years
86183,0-2 years
86192,0-2 years
86204,9-11 years
86237,3-5 years
86242,12-14 years
86252,6-8 years
86262,3-5 years
86265,0-2 years
86268,0-2 years
86274,0-2 years
86290,3-5 years
86303,0-2 years
86330,3-5 years
86332,3-5 years
86335,3-5 years
86344,21-23 years
86362,9-11 years
86370,0-2 years
86381,9-11 years
86403,15-17 years
86419,0-2 years
86423,3-5 years
86437,0-2 years
86440,6-8 years
86454,0-2 years
86475,0-2 years
86493,30 or more years
86512,3-5 years
86517,0-2 years
86519,0-2 years
86528,6-8 years
86529,3-5 years
86537,15-17 years
86564,18-20 years
86577,12-14 years
86592,3-5 years
86610,12-14 years
86643,3-5 years
86646,12-14 years
86659,9-11 years
86661,9-11 years
86670,3-5 years
86688,0-2 years
86696,3-5 years
86700,3-5 years
86703,12-14 years
86706,3-5 years
86721,30 or more years
86741,6-8 years
86774,0-2 years
86785,3-5 years
86832,9-11 years
86835,9-11 years
86850,6-8 years
86869,3-5 years
86874,18-20 years
86882,15-17 years
86887,3-5 years
86903,9-11 years
86915,3-5 years
86918,0-2 years
86920,3-5 years
86921,0-2 years
86952,0-2 years
86965,3-5 years
86969,6-8 years
86972,3-5 years
86973,18-20 years
86977,6-8 years
86998,0-2 years
87040,3-5 years
87053,15-17 years
87058,3-5 years
87072,3-5 years
87097,0-2 years
87105,3-5 years
87118,9-11 years
87125,21-23 years
87128,3-5 years
87147,30 or more years
87157,0-2 years
87171,9-11 years
87183,3-5 years
87197,3-5 years
87212,21-23 years
87213,3-5 years
87241,3-5 years
87258,3-5 years
87281,9-11 years
87289,0-2 years
87330,9-11 years
87342,0-2 years
87375,3-5 years
87403,0-2 years
87405,12-14 years
87464,0-2 years
87481,0-2 years
87498,6-8 years
87508,0-2 years
87530,9-11 years
87532,0-2 years
87537,6-8 years
87539,3-5 years
87560,3-5 years
87575,0-2 years
87592,9-11 years
87595,0-2 years
87601,21-23 years
87639,6-8 years
87641,9-11 years
87655,3-5 years
87659,6-8 years
87660,0-2 years
87669,3-5 years
87671,0-2 years
87674,3-5 years
87677,6-8 years
87694,0-2 years
87701,0-2 years
87710,9-11 years
87724,3-5 years
87731,21-23 years
87773,3-5 years
87774,0-2 years
87776,6-8 years
87779,0-2 years
87784,12-14 years
87785,3-5 years
87808,21-23 years
87825,9-11 years
87833,0-2 years
87847,9-11 years
87849,6-8 years
87870,0-2 years
87873,15-17 years
87877,9-11 years
87900,3-5 years
87907,3-5 years
87916,3-5 years
87930,15-17 years
87940,0-2 years
87941,0-2 years
87950,3-5 years
88011,0-2 years
88025,15-17 years
88034,3-5 years
88036,9-11 years
88037,3-5 years
88053,6-8 years
88062,30 or more years
88081,15-17 years
88116,6-8 years
88128,9-11 years
88136,6-8 years
88138,3-5 years
88149,3-5 years
88172,9-11 years
88183,3-5 years
88190,12-14 years
88192,27-29 years
88193,0-2 years
88198,6-8 years
88206,9-11 years
88216,18-20 years
88219,0-2 years
88234,12-14 years
88236,0-2 years
88252,12-14 years
88254,6-8 years
88262,18-20 years
88278,0-2 years
88283,12-14 years
88306,21-23 years
88315,3-5 years
88330,3-5 years
88339,15-17 years
88349,0-2 years
88354,30 or more years
88356,15-17 years
88376,3-5 years
88420,9-11 years
88436,0-2 years
88455,18-20 years
88493,0-2 years
88507,12-14 years
88515,27-29 years
88526,27-29 years
88529,3-5 years
88542,18-20 years
88546,0-2 years
88548,3-5 years
88566,3-5 years
88575,15-17 years
88581,21-23 years
88629,3-5 years
88632,18-20 years
88633,3-5 years
88661,24-26 years
88666,3-5 years
88670,12-14 years
88674,24-26 years
88694,0-2 years
88705,21-23 years
88734,9-11 years
88746,0-2 years
88758,15-17 years
88770,18-20 years
88790,6-8 years
88804,0-2 years
88805,9-11 years
88817,21-23 years
88819,15-17 years
88828,12-14 years
88829,6-8 years
88836,0-2 years
88841,0-2 years
88845,3-5 years
88885,6-8 years
88893,6-8 years
88936,15-17 years
88962,6-8 years
88971,0-2 years
88990,0-2 years
88998,6-8 years
89007,3-5 years
89013,3-5 years
89023,0-2 years
89024,30 or more years
89029,6-8 years
89041,0-2 years
89054,3-5 years
89058,21-23 years
89060,18-20 years
89066,0-2 years
89069,18-20 years
89076,3-5 years
89095,0-2 years
89119,3-5 years
89143,0-2 years
89158,0-2 years
89180,18-20 years
89189,6-8 years
89192,3-5 years
89206,18-20 years
89229,6-8 years
89246,0-2 years
89266,9-11 years
89278,0-2 years
89288,3-5 years
89312,0-2 years
89378,27-29 years
89379,9-11 years
89383,18-20 years
89389,0-2 years
89396,15-17 years
89401,3-5 years
89408,3-5 years
89409,21-23 years
89417,6-8 years
89426,3-5 years
89432,0-2 years
89473,3-5 years
89477,9-11 years
89480,6-8 years
89520,21-23 years
89532,9-11 years
89536,9-11 years
89543,3-5 years
89546,0-2 years
89556,0-2 years
89562,6-8 years
89579,3-5 years
89585,0-2 years
89625,0-2 years
89631,3-5 years
89635,18-20 years
89652,12-14 years
89654,0-2 years
89662,27-29 years
89676,30 or more years
89682,0-2 years
89691,0-2 years
89701,3-5 years
89703,9-11 years
89720,18-20 years
89751,27-29 years
89752,3-5 years
89771,0-2 years
89784,3-5 years
89792,9-11 years
89794,0-2 years
89797,9-11 years
89804,6-8 years
89814,0-2 years
89815,0-2 years
89818,9-11 years
89832,9-11 years
89843,0-2 years
89846,9-11 years
89850,0-2 years
89851,6-8 years
89854,18-20 years
89865,3-5 years
89873,12-14 years
89879,0-2 years
89887,0-2 years
89909,3-5 years
89917,3-5 years
89929,9-11 years
89951,0-2 years
89984,6-8 years
89988,3-5 years
90034,27-29 years
90050,9-11 years
90065,3-5 years
90087,18-20 years
90094,12-14 years
90102,3-5 years
90111,9-11 years
90148,9-11 years
90190,15-17 years
90197,9-11 years
90200,9-11 years
90204,12-14 years
90223,0-2 years
90228,0-2 years
90230,0-2 years
90242,24-26 years
90244,12-14 years
90245,0-2 years
90269,3-5 years
90271,9-11 years
90283,12-14 years
90292,6-8 years
90300,30 or more years
90307,24-26 years
90317,21-23 years
90319,3-5 years
90324,9-11 years
90329,0-2 years
90349,3-5 years
90353,3-5 years
90358,3-5 years
90364,30 or more years
90375,9-11 years
90378,18-20 years
90391,6-8 years
90395,0-2 years
90397,3-5 years
90418,9-11 years
90428,0-2 years
90432,30 or more years
90434,6-8 years
90458,3-5 years
90495,3-5 years
90500,0-2 years
90509,9-11 years
90515,27-29 years
90525,3-5 years
90526,9-11 years
90527,9-11 years
90549,18-20 years
90572,9-11 years
90587,12-14 years
90615,3-5 years
90617,3-5 years
90622,3-5 years
90626,6-8 years
90641,0-2 years
90648,15-17 years
90651,3-5 years
90656,0-2 years
90667,0-2 years
90670,0-2 years
90673,3-5 years
90682,15-17 years
90720,3-5 years
90730,12-14 years
90752,0-2 years
90756,3-5 years
90764,0-2 years
90768,12-14 years
90782,18-20 years
90803,12-14 years
90806,21-23 years
90807,0-2 years
90815,0-2 years
90829,30 or more years
90843,6-8 years
90845,3-5 years
90900,9-11 years
90907,0-2 years
90909,3-5 years
90944,3-5 years
90945,3-5 years
90960,21-23 years
90996,12-14 years
91004,0-2 years
91024,0-2 years
91026,0-2 years
91042,30 or more years
91047,12-14 years
91068,9-11 years
91091,0-2 years
91093,9-11 years
91098,3-5 years
91099,3-5 years
91103,24-26 years
91115,21-23 years
91146,9-11 years
91166,12-14 years
91169,12-14 years
91200,12-14 years
91204,0-2 years
91208,12-14 years
91220,6-8 years
91255,18-20 years
91256,0-2 years
91263,0-2 years
91278,6-8 years
91279,3-5 years
91311,0-2 years
91343,6-8 years
91363,0-2 years
91364,0-2 years
91367,0-2 years
91373,12-14 years
91379,21-23 years
91385,3-5 years
91394,9-11 years
91398,24-26 years
91414,12-14 years
91419,0-2 years
91424,0-2 years
91466,0-2 years
91467,3-5 years
91493,0-2 years
91520,3-5 years
91526,3-5 years
91528,0-2 years
91532,3-5 years
91542,9-11 years
91558,3-5 years
91574,3-5 years
91579,18-20 years
91589,0-2 years
91597,27-29 years
91642,0-2 years
91649,3-5 years
91650,0-2 years
91688,0-2 years
91703,9-11 years
91711,9-11 years
91719,18-20 years
91739,24-26 years
91761,12-14 years
91767,12-14 years
91772,9-11 years
91807,18-20 years
91827,18-20 years
91837,6-8 years
91849,12-14 years
91858,3-5 years
91873,3-5 years
91885,0-2 years
91889,6-8 years
91897,0-2 years
91918,12-14 years
91922,0-2 years
91940,3-5 years
91957,12-14 years
91966,6-8 years
91984,30 or more years
91993,0-2 years
92072,0-2 years
92081,0-2 years
92091,0-2 years
92096,12-14 years
92116,12-14 years
92140,6-8 years
92160,3-5 years
92169,15-17 years
92195,0-2 years
92201,21-23 years
92210,6-8 years
92223,3-5 years
92227,6-8 years
92228,3-5 years
92243,9-11 years
92267,15-17 years
92284,30 or more years
92316,6-8 years
92347,3-5 years
92374,3-5 years
92378,0-2 years
92388,3-5 years
92405,0-2 years
92438,3-5 years
92440,18-20 years
92443,0-2 years
92480,0-2 years
92500,3-5 years
92509,15-17 years
92519,18-20 years
92525,0-2 years
92535,0-2 years
92542,3-5 years
92567,9-11 years
92597,9-11 years
92599,6-8 years
92616,30 or more years
92617,3-5 years
92623,6-8 years
92625,6-8 years
92673,3-5 years
92674,9-11 years
92678,0-2 years
92685,3-5 years
92687,3-5 years
92699,0-2 years
92728,6-8 years
92751,6-8 years
92764,6-8 years
92765,15-17 years
92770,3-5 years
92771,21-23 years
92779,3-5 years
92786,3-5 years
92793,15-17 years
92807,9-11 years
92812,0-2 years
92825,30 or more years
92832,0-2 years
92834,30 or more years
92843,6-8 years
92849,6-8 years
92868,6-8 years
92880,30 or more years
92889,6-8 years
92894,0-2 years
92925,6-8 years
92929,0-2 years
92938,0-2 years
92939,9-11 years
92941,0-2 years
92956,6-8 years
92963,0-2 years
92964,9-11 years
92969,0-2 years
92977,3-5 years
92998,6-8 years
93006,3-5 years
93007,0-2 years
93037,0-2 years
93080,15-17 years
93085,9-11 years
93097,9-11 years
93111,30 or more years
93125,6-8 years
93126,6-8 years
93140,0-2 years
93153,0-2 years
93162,9-11 years
93187,6-8 years
93199,18-20 years
93205,0-2 years
93215,3-5 years
93234,0-2 years
93240,9-11 years
93243,0-2 years
93247,9-11 years
93259,0-2 years
93280,3-5 years
93281,6-8 years
93290,3-5 years
93303,6-8 years
93311,6-8 years
93327,15-17 years
93339,0-2 years
93363,18-20 years
93364,0-2 years
93366,12-14 years
93371,18-20 years
93378,6-8 years
93380,24-26 years
93388,18-20 years
93415,30 or more years
93431,9-11 years
93444,30 or more years
93447,12-14 years
93452,3-5 years
93461,3-5 years
93467,0-2 years
93470,3-5 years
93482,0-2 years
93483,3-5 years
93491,3-5 years
93515,3-5 years
93518,0-2 years
93526,9-11 years
93550,3-5 years
93560,24-26 years
93567,0-2 years
93570,27-29 years
93572,9-11 years
93584,0-2 years
93596,3-5 years
93604,3-5 years
93626,15-17 years
93627,30 or more years
93634,3-5 years
93641,12-14 years
93652,3-5 years
93672,12-14 years
93682,9-11 years
93688,9-11 years
93693,3-5 years
93702,0-2 years
93703,0-2 years
93709,12-14 years
93712,12-14 years
93716,9-11 years
93720,9-11 years
93725,3-5 years
93739,0-2 years
93743,30 or more years
93746,6-8 years
93748,0-2 years
93754,0-2 years
93755,3-5 years
93765,0-2 years
93768,6-8 years
93775,30 or more years
93792,3-5 years
93793,30 or more years
93807,3-5 years
93809,21-23 years
93815,3-5 years
93832,3-5 years
93834,30 or more years
93837,0-2 years
93842,0-2 years
93846,9-11 years
93866,6-8 years
93883,3-5 years
93886,9-11 years
93888,12-14 years
93907,9-11 years
93916,9-11 years
93921,18-20 years
93928,0-2 years
93949,3-5 years
93953,0-2 years
93959,0-2 years
93963,24-26 years
93982,0-2 years
93984,24-26 years
93989,6-8 years
94002,3-5 years
94003,0-2 years
94020,12-14 years
94073,3-5 years
94078,24-26 years
94086,6-8 years
94089,0-2 years
94100,0-2 years
94111,0-2 years
94115,0-2 years
94116,0-2 years
94131,3-5 years
94143,15-17 years
94151,27-29 years
94181,0-2 years
94185,6-8 years
94209,6-8 years
94210,9-11 years
94214,18-20 years
94235,15-17 years
94241,6-8 years
94254,3-5 years
94258,30 or more years
94259,12-14 years
94274,18-20 years
94297,27-29 years
94303,9-11 years
94319,3-5 years
94336,3-5 years
94337,3-5 years
94346,0-2 years
94350,3-5 years
94351,3-5 years
94360,0-2 years
94362,30 or more years
94381,12-14 years
94383,3-5 years
94391,6-8 years
94393,12-14 years
94394,6-8 years
94403,9-11 years
94417,0-2 years
94430,24-26 years
94457,12-14 years
94460,3-5 years
94464,15-17 years
94468,18-20 years
94481,18-20 years
94493,9-11 years
94500,0-2 years
94503,3-5 years
94518,3-5 years
94520,0-2 years
94525,6-8 years
94527,15-17 years
94528,6-8 years
94529,3-5 years
94530,0-2 years
94540,18-20 years
94546,0-2 years
94548,3-5 years
94568,3-5 years
94586,3-5 years
94589,3-5 years
94595,6-8 years
94599,30 or more years
94614,12-14 years
94617,30 or more years
94620,6-8 years
94624,3-5 years
94651,9-11 years
94655,3-5 years
94672,3-5 years
94688,12-14 years
94701,9-11 years
94703,6-8 years
94719,9-11 years
94729,30 or more years
94735,3-5 years
94740,6-8 years
94744,3-5 years
94757,0-2 years
94767,3-5 years
94769,24-26 years
94773,15-17 years
94779,3-5 years
94800,0-2 years
94801,9-11 years
94804,0-2 years
94825,0-2 years
94845,15-17 years
94874,6-8 years
94881,15-17 years
94890,18-20 years
94900,0-2 years
94908,6-8 years
94913,3-5 years
94914,3-5 years
94938,6-8 years
94957,6-8 years
94963,6-8 years
94967,3-5 years
95003,0-2 years
95009,9-11 years
95022,0-2 years
95024,0-2 years
95027,12-14 years
95038,0-2 years
95054,0-2 years
95068,9-11 years
95070,3-5 years
95072,0-2 years
95077,15-17 years
95083,0-2 years
95091,0-2 years
95097,21-23 years
95098,0-2 years
95105,6-8 years
95106,12-14 years
95108,3-5 years
95114,9-11 years
95117,0-2 years
95126,12-14 years
95136,3-5 years
95153,0-2 years
95154,30 or more years
95157,12-14 years
95159,0-2 years
95171,18-20 years
95183,12-14 years
95207,9-11 years
95209,9-11 years
95217,6-8 years
95219,0-2 years
95223,0-2 years
95236,30 or more years
95246,3-5 years
95248,9-11 years
95260,21-23 years
95264,6-8 years
95282,0-2 years
95283,0-2 years
95285,0-2 years
95291,0-2 years
95305,18-20 years
95327,6-8 years
95338,3-5 years
95359,3-5 years
95363,9-11 years
95366,21-23 years
95382,18-20 years
95410,6-8 years
95419,0-2 years
95445,15-17 years
95462,3-5 years
95464,0-2 years
95470,24-26 years
95472,24-26 years
95488,3-5 years
95497,0-2 years
95501,3-5 years
95505,12-14 years
95510,3-5 years
95532,15-17 years
95543,9-11 years
95562,18-20 years
95567,9-11 years
95586,6-8 years
95605,6-8 years
95607,15-17 years
95661,6-8 years
95663,6-8 years
95673,3-5 years
95680,9-11 years
95693,30 or more years
95694,0-2 years
95696,21-23 years
95704,18-20 years
95707,12-14 years
95719,3-5 years
95733,15-17 years
95759,6-8 years
95760,3-5 years
95775,0-2 years
95783,3-5 years
95798,0-2 years
95804,0-2 years
95824,3-5 years
95831,3-5 years
95833,3-5 years
95862,9-11 years
95868,3-5 years
95886,18-20 years
95892,0-2 years
95897,0-2 years
95914,15-17 years
95923,6-8 years
95942,9-11 years
95976,0-2 years
95980,3-5 years
95982,3-5 years
95997,18-20 years
95999,6-8 years
96053,0-2 years
96078,9-11 years
96111,3-5 years
96118,12-14 years
96120,30 or more years
96125,30 or more years
96132,3-5 years
96136,0-2 years
96138,3-5 years
96143,3-5 years
96176,6-8 years
96178,12-14 years
96186,3-5 years
96189,0-2 years
96194,6-8 years
96195,9-11 years
96208,24-26 years
96209,6-8 years
96222,3-5 years
96264,0-2 years
96270,9-11 years
96278,30 or more years
96298,3-5 years
96300,21-23 years
96306,15-17 years
96313,0-2 years
96315,3-5 years
96320,18-20 years
96326,0-2 years
96330,0-2 years
96348,9-11 years
96350,0-2 years
96363,3-5 years
96366,9-11 years
96370,6-8 years
96372,0-2 years
96429,3-5 years
96432,6-8 years
96465,0-2 years
96490,6-8 years
96496,3-5 years
96501,0-2 years
96506,3-5 years
96513,12-14 years
96517,9-11 years
96518,12-14 years
96536,9-11 years
96544,9-11 years
96548,0-2 years
96551,3-5 years
96552,6-8 years
96578,15-17 years
96583,6-8 years
96592,6-8 years
96616,6-8 years
96623,0-2 years
96660,18-20 years
96670,27-29 years
96673,6-8 years
96700,9-11 years
96705,6-8 years
96717,12-14 years
96744,0-2 years
96749,3-5 years
96779,3-5 years
96785,12-14 years
96789,6-8 years
96828,0-2 years
96829,3-5 years
96844,6-8 years
96848,3-5 years
96851,9-11 years
96857,12-14 years
96862,6-8 years
96868,18-20 years
96898,9-11 years
96910,3-5 years
96925,0-2 years
96989,0-2 years
96999,6-8 years
97000,3-5 years
97012,9-11 years
97013,0-2 years
97019,18-20 years
97027,9-11 years
97039,3-5 years
97050,12-14 years
97055,0-2 years
97074,0-2 years
97092,0-2 years
97107,12-14 years
97118,3-5 years
97125,6-8 years
97136,24-26 years
97156,9-11 years
97188,9-11 years
97191,12-14 years
97194,0-2 years
97199,18-20 years
97267,6-8 years
97272,6-8 years
97286,9-11 years
97297,6-8 years
97304,6-8 years
97309,12-14 years
97337,3-5 years
97339,9-11 years
97356,18-20 years
97360,3-5 years
97365,9-11 years
97392,15-17 years
97399,0-2 years
97400,9-11 years
97419,0-2 years
97437,3-5 years
97450,3-5 years
97458,0-2 years
97481,24-26 years
97494,27-29 years
97502,3-5 years
97525,9-11 years
97550,6-8 years
97551,0-2 years
97569,0-2 years
97575,12-14 years
97610,9-11 years
97622,3-5 years
97624,6-8 years
97632,15-17 years
97640,30 or more years
97658,6-8 years
97676,12-14 years
97693,12-14 years
97705,12-14 years
97727,24-26 years
97741,3-5 years
97779,0-2 years
97780,6-8 years
97786,15-17 years
97808,3-5 years
97811,21-23 years
97819,3-5 years
97842,9-11 years
97848,3-5 years
97862,0-2 years
97874,9-11 years
97875,0-2 years
97884,6-8 years
97949,3-5 years
97956,12-14 years
97960,0-2 years
97972,3-5 years
97976,3-5 years
98011,6-8 years
98023,0-2 years
98048,3-5 years
98074,30 or more years
98080,3-5 years
98114,9-11 years
98119,3-5 years
98120,30 or more years
98129,3-5 years
98142,6-8 years
98177,0-2 years
98187,0-2 years
98207,12-14 years
98208,6-8 years
98212,6-8 years
98226,15-17 years
98233,15-17 years
98234,3-5 years
98260,30 or more years
98272,0-2 years
98274,18-20 years
98280,15-17 years
98285,3-5 years
98328,12-14 years
98350,18-20 years
98365,3-5 years
98391,6-8 years
98400,0-2 years
98403,9-11 years
98410,3-5 years
98436,0-2 years
98456,3-5 years
98468,6-8 years
98494,0-2 years
98525,3-5 years
98545,12-14 years
98546,9-11 years
98552,9-11 years
98569,9-11 years
98626,15-17 years
98632,18-20 years
98634,3-5 years
98685,0-2 years
98710,0-2 years
98745,27-29 years
98746,6-8 years
98750,9-11 years
98762,3-5 years
98777,15-17 years
98803,9-11 years
98812,3-5 years
98813,9-11 years
98852,24-26 years
98888,0-2 years
98904,18-20 years
98905,18-20 years
98928,6-8 years
98929,3-5 years
98936,3-5 years
98992,3-5 years
98995,6-8 years
98999,9-11 years
99004,18-20 years
99044,15-17 years
99058,9-11 years
99091,6-8 years
99135,15-17 years
99151,30 or more years
99159,0-2 years
99160,24-26 years
99166,21-23 years
99173,21-23 years
99177,15-17 years
99184,3-5 years
99193,3-5 years
99207,6-8 years
99216,6-8 years
99234,0-2 years
99251,6-8 years
99266,6-8 years
99274,0-2 years
99286,0-2 years
99288,6-8 years
99299,6-8 years
99309,3-5 years
99331,0-2 years
99337,18-20 years
99342,0-2 years
99343,15-17 years
99356,30 or more years
99361,0-2 years
99374,3-5 years
99392,0-2 years
99421,3-5 years
99432,12-14 years
99443,3-5 years
99447,3-5 years
99458,6-8 years
99465,9-11 years
99466,0-2 years
99515,15-17 years
99524,3-5 years
99527,30 or more years
99552,24-26 years
99577,9-11 years
99594,21-23 years
99595,3-5 years
99599,30 or more years
99601,3-5 years
99603,3-5 years
99620,0-2 years
99626,12-14 years
99636,0-2 years
99642,12-14 years
99649,0-2 years
99667,21-23 years
99677,6-8 years
99692,3-5 years
99702,3-5 years
99705,3-5 years
99708,9-11 years
99715,6-8 years
99719,30 or more years
99752,3-5 years
99789,0-2 years
99795,0-2 years
99801,0-2 years
99802,21-23 years
99808,0-2 years
99815,18-20 years
99840,0-2 years
99853,9-11 years
99856,15-17 years
99865,9-11 years
99874,0-2 years
99882,3-5 years
99883,3-5 years
99902,12-14 years
99907,9-11 years
99919,12-14 years
99921,30 or more years
99939,0-2 years
99962,3-5 years
99967,9-11 years
100000,0-2 years
100001,3-5 years
100011,12-14 years
100018,0-2 years
100029,3-5 years
100033,6-8 years
100035,0-2 years
100044,0-2 years
100074,15-17 years
100093,9-11 years
100100,12-14 years
100108,15-17 years
100144,6-8 years
100146,9-11 years
100169,30 or more years
100185,6-8 years
100211,6-8 years
100212,24-26 years
100213,21-23 years
100222,6-8 years
100232,0-2 years
100248,9-11 years
100257,12-14 years
100271,18-20 years
100307,0-2 years
100317,24-26 years
100347,9-11 years
100362,18-20 years
100368,0-2 years
100372,9-11 years
100385,0-2 years
100395,3-5 years
100396,27-29 years
100400,3-5 years
100406,0-2 years
100409,3-5 years
100411,0-2 years
100442,0-2 years
100461,27-29 years
100471,9-11 years
100474,6-8 years
100476,9-11 years
100489,9-11 years
100495,3-5 years
100509,18-20 years
100528,15-17 years
100533,6-8 years
100545,3-5 years
100557,3-5 years
100587,3-5 years
100588,3-5 years
100589,3-5 years
100615,24-26 years
100618,3-5 years
100666,0-2 years
100667,6-8 years
100671,0-2 years
100675,6-8 years
100682,3-5 years
100685,12-14 years
100701,0-2 years
100702,3-5 years
100706,12-14 years
100738,6-8 years
100741,15-17 years
100750,24-26 years
100757,0-2 years
100770,0-2 years
100782,12-14 years
100801,3-5 years
100819,12-14 years
100823,24-26 years
100849,9-11 years
100860,21-23 years
100862,0-2 years
100866,6-8 years
100894,12-14 years
100902,21-23 years
100911,0-2 years
100921,0-2 years
100928,0-2 years
100930,27-29 years
100939,12-14 years
100945,6-8 years
100954,12-14 years
100958,0-2 years
100965,24-26 years
100989,21-23 years
100993,18-20 years
100998,3-5 years
101008,15-17 years
101009,30 or more years
101010,0-2 years
101011,0-2 years
101012,0-2 years
101016,0-2 years
101026,6-8 years
101027,3-5 years
101048,3-5 years
101066,18-20 years
101067,0-2 years
101080,18-20 years
101090,3-5 years
101093,15-17 years
101103,3-5 years
101113,30 or more years
101161,6-8 years
101163,30 or more years
101165,0-2 years
101201,24-26 years
101208,9-11 years
101210,9-11 years
101212,15-17 years
101240,0-2 years
101248,3-5 years
101250,3-5 years
101254,3-5 years
101261,3-5 years
101280,9-11 years
101288,12-14 years
101293,0-2 years
101297,24-26 years
101303,0-2 years
101322,18-20 years
101337,9-11 years
101347,30 or more years
101348,15-17 years
101365,18-20 years
101374,3-5 years
101392,3-5 years
101398,9-11 years
101405,9-11 years
101413,0-2 years
101425,27-29 years
101428,18-20 years
101437,3-5 years
101484,0-2 years
101507,15-17 years
101508,0-2 years
101512,30 or more years
101533,0-2 years
101553,12-14 years
101566,15-17 years
13,0-2 years
25,3-5 years
28,3-5 years
30,0-2 years
62,3-5 years
94,0-2 years
99,0-2 years
104,0-2 years
144,0-2 years
193,0-2 years
203,0-2 years
223,0-2 years
258,0-2 years
268,0-2 years
273,0-2 years
276,0-2 years
281,0-2 years
288,3-5 years
312,0-2 years
329,0-2 years
339,0-2 years
376,0-2 years
381,0-2 years
386,0-2 years
414,0-2 years
441,0-2 years
450,0-2 years
463,0-2 years
480,0-2 years
496,3-5 years
498,0-2 years
504,0-2 years
512,0-2 years
517,0-2 years
539,15-17 years
559,0-2 years
561,0-2 years
568,0-2 years
577,9-11 years
582,9-11 years
604,0-2 years
605,0-2 years
625,6-8 years
627,0-2 years
635,3-5 years
637,0-2 years
650,0-2 years
687,0-2 years
716,0-2 years
779,12-14 years
803,0-2 years
813,3-5 years
815,0-2 years
836,0-2 years
844,0-2 years
886,0-2 years
891,0-2 years
945,0-2 years
959,0-2 years
960,0-2 years
973,0-2 years
985,0-2 years
989,0-2 years
992,0-2 years
996,0-2 years
1005,0-2 years
1052,0-2 years
1064,0-2 years
1087,6-8 years
1093,0-2 years
1097,30 or more years
1161,0-2 years
1165,0-2 years
1168,0-2 years
1169,0-2 years
1170,0-2 years
1173,3-5 years
1186,30 or more years
1204,0-2 years
1271,0-2 years
1304,0-2 years
1396,3-5 years
1435,15-17 years
1444,0-2 years
1456,0-2 years
1474,0-2 years
1487,15-17 years
1515,12-14 years
1525,0-2 years
1558,0-2 years
1559,30 or more years
1574,0-2 years
1580,3-5 years
1615,0-2 years
1623,0-2 years
1624,0-2 years
1629,0-2 years
1634,0-2 years
1658,0-2 years
1659,0-2 years
1661,0-2 years
1669,0-2 years
1670,0-2 years
1678,0-2 years
1691,3-5 years
1721,9-11 years
1732,0-2 years
1754,0-2 years
1785,0-2 years
1824,0-2 years
1841,0-2 years
1860,0-2 years
1875,0-2 years
1883,0-2 years
1914,0-2 years
1922,0-2 years
1925,0-2 years
1958,3-5 years
1959,3-5 years
1977,0-2 years
1980,0-2 years
1983,0-2 years
2011,6-8 years
2030,0-2 years
2032,0-2 years
2050,0-2 years
2057,0-2 years
2070,0-2 years
2092,0-2 years
2116,3-5 years
2130,0-2 years
2138,6-8 years
2143,0-2 years
2156,0-2 years
2171,0-2 years
2184,30 or more years
2200,0-2 years
2209,0-2 years
2221,0-2 years
2227,0-2 years
2241,0-2 years
2263,0-2 years
2275,0-2 years
2278,6-8 years
2281,6-8 years
2294,0-2 years
2295,3-5 years
2298,0-2 years
2359,0-2 years
2372,0-2 years
2420,0-2 years
2458,0-2 years
2474,0-2 years
2492,0-2 years
2495,0-2 years
2504,0-2 years
2516,0-2 years
2518,0-2 years
2526,0-2 years
2543,3-5 years
2555,6-8 years
2557,0-2 years
2585,0-2 years
2596,0-2 years
2600,0-2 years
2642,0-2 years
2645,0-2 years
2663,3-5 years
2698,0-2 years
2703,6-8 years
2710,0-2 years
2720,0-2 years
2727,0-2 years
2728,0-2 years
2730,0-2 years
2748,0-2 years
2756,3-5 years
2759,0-2 years
2800,0-2 years
2808,0-2 years
2816,0-2 years
2849,0-2 years
2868,0-2 years
2886,0-2 years
2912,3-5 years
2918,3-5 years
2922,0-2 years
2928,30 or more years
2934,3-5 years
2951,0-2 years
2960,6-8 years
2961,0-2 years
2990,0-2 years
3011,0-2 years
3020,0-2 years
3038,0-2 years
3048,0-2 years
3052,0-2 years
3063,0-2 years
3070,0-2 years
3096,3-5 years
3110,3-5 years
3116,0-2 years
